# Region type : patch outlet
# Faces       : 128
# Area        : 9.418766e-07
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.001         	3.449130e-13
0.002         	9.928711e-13
0.003         	1.911014e-12
0.004         	3.073290e-12
0.005         	6.039121e-12
0.006         	1.144167e-11
0.007         	1.901199e-11
0.008         	2.853591e-11
0.009         	4.132318e-11
0.01          	6.044516e-11
0.011         	8.521834e-11
0.012         	1.150942e-10
0.013         	1.496214e-10
0.014         	1.949167e-10
0.015         	2.501411e-10
0.016         	3.143615e-10
0.017         	3.867883e-10
0.018         	4.716389e-10
0.019         	5.708456e-10
0.02          	6.830435e-10
0.021         	8.071349e-10
0.022         	9.443101e-10
0.023         	1.099594e-09
0.024         	1.271291e-09
0.025         	1.457990e-09
0.026         	1.658489e-09
0.027         	1.878667e-09
0.028         	2.117406e-09
0.029         	2.373130e-09
0.03          	2.644494e-09
0.031         	2.933640e-09
0.032         	3.241697e-09
0.033         	3.567084e-09
0.034         	3.908449e-09
0.035         	4.265312e-09
0.036         	4.639152e-09
0.037         	5.028617e-09
0.038         	5.432528e-09
0.039         	5.849837e-09
0.04          	6.279663e-09
0.041         	6.721153e-09
0.042         	7.173513e-09
0.043         	7.636013e-09
0.044         	8.106082e-09
0.045         	8.581587e-09
0.046         	9.062334e-09
0.047         	9.548106e-09
0.048         	1.003735e-08
0.049         	1.052375e-08
0.05          	1.100795e-08
0.051         	1.149038e-08
0.052         	1.197135e-08
0.053         	1.244187e-08
0.054         	1.290128e-08
0.055         	1.335084e-08
0.056         	1.379153e-08
0.057         	1.421731e-08
0.058         	1.462221e-08
0.059         	1.500839e-08
0.06          	1.537759e-08
0.061         	1.572911e-08
0.062         	1.604991e-08
0.063         	1.634306e-08
0.064         	1.661109e-08
0.065         	1.685609e-08
0.066         	1.706577e-08
0.067         	1.723952e-08
0.068         	1.738058e-08
0.069         	1.749184e-08
0.07          	1.756740e-08
0.071         	1.760002e-08
0.072         	1.759386e-08
0.073         	1.755217e-08
0.074         	1.747583e-08
0.075         	1.735234e-08
0.076         	1.718558e-08
0.077         	1.697940e-08
0.078         	1.673670e-08
0.079         	1.644927e-08
0.08          	1.611692e-08
0.081         	1.574358e-08
0.082         	1.533232e-08
0.083         	1.488148e-08
0.084         	1.438716e-08
0.085         	1.385291e-08
0.086         	1.328180e-08
0.087         	1.268215e-08
0.088         	1.218028e-08
0.089         	1.176255e-08
0.09          	1.141887e-08
0.091         	1.114123e-08
0.092         	1.104474e-08
0.093         	1.116235e-08
0.094         	1.147169e-08
0.095         	1.195429e-08
0.096         	1.259256e-08
0.097         	1.336814e-08
0.098         	1.427123e-08
0.099         	1.529269e-08
0.1           	1.642372e-08
0.101         	1.763503e-08
0.102         	1.892202e-08
0.103         	2.028093e-08
0.104         	2.170725e-08
0.105         	2.317890e-08
0.106         	2.468453e-08
0.107         	2.622366e-08
0.108         	2.779429e-08
0.109         	2.938477e-08
0.11          	3.097203e-08
0.111         	3.255828e-08
0.112         	3.414428e-08
0.113         	3.573079e-08
0.114         	3.728268e-08
0.115         	3.880138e-08
0.116         	4.029208e-08
0.117         	4.175743e-08
0.118         	4.317413e-08
0.119         	4.453148e-08
0.12          	4.583414e-08
0.121         	4.708864e-08
0.122         	4.828715e-08
0.123         	4.940223e-08
0.124         	5.044203e-08
0.125         	5.141328e-08
0.126         	5.232229e-08
0.127         	5.313204e-08
0.128         	5.385013e-08
0.129         	5.448309e-08
0.13          	5.503786e-08
0.131         	5.549746e-08
0.132         	5.585176e-08
0.133         	5.610843e-08
0.134         	5.627719e-08
0.135         	5.635510e-08
0.136         	5.631879e-08
0.137         	5.617834e-08
0.138         	5.594259e-08
0.139         	5.561848e-08
0.14          	5.518222e-08
0.141         	5.463948e-08
0.142         	5.399867e-08
0.143         	5.326776e-08
0.144         	5.243768e-08
0.145         	5.150301e-08
0.146         	5.047189e-08
0.147         	4.935265e-08
0.148         	4.814693e-08
0.149         	4.684432e-08
0.15          	4.545213e-08
0.151         	4.397728e-08
0.152         	4.242585e-08
0.153         	4.079208e-08
0.154         	3.907983e-08
0.155         	3.729491e-08
0.156         	3.544275e-08
0.157         	3.355677e-08
0.158         	3.166930e-08
0.159         	2.977753e-08
0.16          	2.787996e-08
0.161         	2.598671e-08
0.162         	2.416894e-08
0.163         	2.241666e-08
0.164         	2.072209e-08
0.165         	1.907927e-08
0.166         	1.748590e-08
0.167         	1.593816e-08
0.168         	1.443233e-08
0.169         	1.296504e-08
0.17          	1.153471e-08
0.171         	1.014026e-08
0.172         	8.779026e-09
0.173         	7.448579e-09
0.174         	6.147129e-09
0.175         	4.876654e-09
0.176         	3.634605e-09
0.177         	2.419045e-09
0.178         	1.227973e-09
0.179         	6.390803e-11
0.18          	-1.073879e-09
0.181         	-2.187362e-09
0.182         	-3.278275e-09
0.183         	-4.345581e-09
0.184         	-5.387411e-09
0.185         	-6.405798e-09
0.186         	-7.402192e-09
0.187         	-8.377840e-09
0.188         	-9.327541e-09
0.189         	-1.025348e-08
0.19          	-1.115715e-08
0.191         	-1.204039e-08
0.192         	-1.289879e-08
0.193         	-1.373230e-08
0.194         	-1.454276e-08
0.195         	-1.533214e-08
0.196         	-1.609854e-08
0.197         	-1.683820e-08
0.198         	-1.755339e-08
0.199         	-1.824582e-08
0.2           	-1.891762e-08
0.201         	-1.956080e-08
0.202         	-2.017782e-08
0.203         	-2.077081e-08
